2573,0,2594,0,2594,290,2573,290
2998,77,3014,30,3167,81,3152,129
3442,234,3455,194,3580,235,3566,276
3850,326,3859,300,3917,320,3909,345
214,651,221,614,356,641,348,678
2560,745,2594,745,2594,1134,2560,1134
3002,875,3013,826,3152,858,3142,906
3444,918,3455,876,3578,906,3567,949
3823,995,3829,950,3937,966,3930,1010
195,1158,195,1124,338,1124,338,1158
2463,1589,2679,1589,2679,1635,2463,1635
3012,1647,3012,1601,3155,1601,3155,1647
3463,1626,3582,1626,3582,1672,3463,1672
146,1672,146,1650,289,1650,289,1672
3841,1675,3948,1675,3948,1708,3841,1708
